 ,Orden del país,Trimestre,Año(aaaa)-Trimestre(t),Año(aaaa),Clasificación inversión directa,Descripción tipo inversión directa,Valor anual,Estado de la información,Periodicidad de la información
Afganistán,1,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Albania,2,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Alemania,3,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"98,0512192998059",Provisional,Anual
Anguilla,4,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"931,13930975432",Provisional,Anual
Antillas Holandesas,5,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,421714765577387",Provisional,Anual
Argentina,6,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,386683545157807",Provisional,Anual
Aruba,7,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,789344368547304",Provisional,Anual
Australia,8,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"12,4817987086254",Provisional,Anual
Austria,9,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"17,1717546554611",Provisional,Anual
Bahamas,10,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"20,3697222767305",Provisional,Anual
Barbados,11,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"227,237781901148",Provisional,Anual
Belice,13,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-4,08383458",Provisional,Anual
Bermudas,14,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-6,31883757216956",Provisional,Anual
Bolivia,15,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"2,40898024",Provisional,Anual
Brasil,16,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"109,976816931449",Provisional,Anual
Bélgica,12,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"9,88692641634616",Provisional,Anual
Canadá,17,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"240,415565733994",Provisional,Anual
Chile,18,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"834,340090700912",Provisional,Anual
China,19,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"252,655523635999",Provisional,Anual
Chipre,21,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,49680564",Provisional,Anual
Corea del Sur,20,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-0,052289076037539",Provisional,Anual
Costa Rica,22,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"23,8569267935392",Provisional,Anual
Cuba,23,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Curazao,24,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"0,887909883075378",Provisional,Anual
Dinamarca,25,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"17,0887681784014",Provisional,Anual
Ecuador,26,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"38,3510740191468",Provisional,Anual
El Salvador,27,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-1,84185098",Provisional,Anual
Escocia,28,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,403709900853",Provisional,Anual
España,29,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"2160,82498400892",Provisional,Anual
Estados Unidos,30,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"3565,85681886404",Provisional,Anual
Finlandia,31,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Francia,32,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"195,355254146383",Provisional,Anual
Gibraltar,33,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Grecia,34,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,73232709",Provisional,Anual
Guatemala,35,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-20,36235521",Provisional,Anual
Honduras,36,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"1,5029049",Provisional,Anual
Hong Kong,37,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Hungría,38,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
India,41,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"15,2022043578164",Provisional,Anual
Inglaterra,42,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"761,136299181922",Provisional,Anual
Irlanda⁴,45,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"-17,8837778644056",Provisional,Anual
Irán,44,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,0,Provisional,Anual
Isla de Man,46,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"22,8947720748395",Provisional,Anual
Islas Caimán,39,4,2022-4,2022 hasta tercer trimestre,Países,Inversión Extranjera Directa en Colombia,"198,128118676961",Provisional,Anual
